,State,Year,NO2 Mean,SO2 Mean,O3 Mean,CO Mean,age,sex,val
5187,Texas,2008,10.635034155241936,0.779835347983871,0.024719014516129033,0.22450463669354837,15-49 years,Both,4.520808086665408
5188,Texas,2008,10.635034155241936,0.779835347983871,0.024719014516129033,0.22450463669354837,15-49 years,Female,4.2744103293757245
5189,Texas,2008,10.635034155241936,0.779835347983871,0.024719014516129033,0.22450463669354837,15-49 years,Male,4.761299568507406
5190,Texas,2008,10.635034155241936,0.779835347983871,0.024719014516129033,0.22450463669354837,50-69 years,Both,72.40283610136657
5191,Texas,2008,10.635034155241936,0.779835347983871,0.024719014516129033,0.22450463669354837,50-69 years,Female,65.49555583009935
5192,Texas,2008,10.635034155241936,0.779835347983871,0.024719014516129033,0.22450463669354837,50-69 years,Male,79.71797186974916
5193,Texas,2008,10.635034155241936,0.779835347983871,0.024719014516129033,0.22450463669354837,70+ years,Both,721.1376924165891
5194,Texas,2008,10.635034155241936,0.779835347983871,0.024719014516129033,0.22450463669354837,70+ years,Female,662.2580847595683
5195,Texas,2008,10.635034155241936,0.779835347983871,0.024719014516129033,0.22450463669354837,70+ years,Male,803.8091746259838
5196,Texas,2009,8.666133881447587,0.674938285357737,0.023979527870216306,0.20072945008319468,0 to 14,Both,1.9406234646675258
5197,Texas,2009,8.666133881447587,0.674938285357737,0.023979527870216306,0.20072945008319468,0 to 14,Female,1.724729519502026
5198,Texas,2009,8.666133881447587,0.674938285357737,0.023979527870216306,0.20072945008319468,0 to 14,Male,2.147123332267223
5199,Texas,2009,8.666133881447587,0.674938285357737,0.023979527870216306,0.20072945008319468,15-49 years,Both,4.5108179206439
5200,Texas,2009,8.666133881447587,0.674938285357737,0.023979527870216306,0.20072945008319468,15-49 years,Female,4.303975618851065
5201,Texas,2009,8.666133881447587,0.674938285357737,0.023979527870216306,0.20072945008319468,15-49 years,Male,4.713097881264858
5202,Texas,2009,8.666133881447587,0.674938285357737,0.023979527870216306,0.20072945008319468,50-69 years,Both,71.53534932845103
5203,Texas,2009,8.666133881447587,0.674938285357737,0.023979527870216306,0.20072945008319468,50-69 years,Female,65.01510477109703
5204,Texas,2009,8.666133881447587,0.674938285357737,0.023979527870216306,0.20072945008319468,50-69 years,Male,78.43815216531826
5205,Texas,2009,8.666133881447587,0.674938285357737,0.023979527870216306,0.20072945008319468,70+ years,Both,709.4573385363213
5206,Texas,2009,8.666133881447587,0.674938285357737,0.023979527870216306,0.20072945008319468,70+ years,Female,652.7447367257896
5207,Texas,2009,8.666133881447587,0.674938285357737,0.023979527870216306,0.20072945008319468,70+ years,Male,788.3585276846372
5208,Texas,2010,10.824031576264437,0.8400010286738352,0.02523190442054958,0.22831633731581044,0 to 14,Both,1.8389998831562133
5209,Texas,2010,10.824031576264437,0.8400010286738352,0.02523190442054958,0.22831633731581044,0 to 14,Female,1.5982683274967133
5210,Texas,2010,10.824031576264437,0.8400010286738352,0.02523190442054958,0.22831633731581044,0 to 14,Male,2.0693414342263976
5211,Texas,2010,10.824031576264437,0.8400010286738352,0.02523190442054958,0.22831633731581044,15-49 years,Both,4.2184823095425745
5212,Texas,2010,10.824031576264437,0.8400010286738352,0.02523190442054958,0.22831633731581044,15-49 years,Female,4.105705783940211
5213,Texas,2010,10.824031576264437,0.8400010286738352,0.02523190442054958,0.22831633731581044,15-49 years,Male,4.329002761662438
5214,Texas,2010,10.824031576264437,0.8400010286738352,0.02523190442054958,0.22831633731581044,50-69 years,Both,70.401589036033
5215,Texas,2010,10.824031576264437,0.8400010286738352,0.02523190442054958,0.22831633731581044,50-69 years,Female,64.69574431620357
5216,Texas,2010,10.824031576264437,0.8400010286738352,0.02523190442054958,0.22831633731581044,50-69 years,Male,76.43496169838045
5217,Texas,2010,10.824031576264437,0.8400010286738352,0.02523190442054958,0.22831633731581044,70+ years,Both,703.5971761480721
5218,Texas,2010,10.824031576264437,0.8400010286738352,0.02523190442054958,0.22831633731581044,70+ years,Female,653.5166781167284
5219,Texas,2010,10.824031576264437,0.8400010286738352,0.02523190442054958,0.22831633731581044,70+ years,Male,772.5605209049572
5220,Texas,2011,10.374280488434165,0.6443902780249111,0.02757857206405694,0.19872474421708186,0 to 14,Both,1.7023273829042052
5221,Texas,2011,10.374280488434165,0.6443902780249111,0.02757857206405694,0.19872474421708186,0 to 14,Female,1.4708340960159265
5222,Texas,2011,10.374280488434165,0.6443902780249111,0.02757857206405694,0.19872474421708186,0 to 14,Male,1.9239015047717467
5223,Texas,2011,10.374280488434165,0.6443902780249111,0.02757857206405694,0.19872474421708186,15-49 years,Both,4.0767903240170975
5224,Texas,2011,10.374280488434165,0.6443902780249111,0.02757857206405694,0.19872474421708186,15-49 years,Female,3.9414831314859917
5225,Texas,2011,10.374280488434165,0.6443902780249111,0.02757857206405694,0.19872474421708186,15-49 years,Male,4.209603120333563
5226,Texas,2011,10.374280488434165,0.6443902780249111,0.02757857206405694,0.19872474421708186,50-69 years,Both,69.87433500573309
5227,Texas,2011,10.374280488434165,0.6443902780249111,0.02757857206405694,0.19872474421708186,50-69 years,Female,63.609702896439245
5228,Texas,2011,10.374280488434165,0.6443902780249111,0.02757857206405694,0.19872474421708186,50-69 years,Male,76.49669167680395
5229,Texas,2011,10.374280488434165,0.6443902780249111,0.02757857206405694,0.19872474421708186,70+ years,Both,699.9382903880535
5230,Texas,2011,10.374280488434165,0.6443902780249111,0.02757857206405694,0.19872474421708186,70+ years,Female,651.3349433629845
5231,Texas,2011,10.374280488434165,0.6443902780249111,0.02757857206405694,0.19872474421708186,70+ years,Male,766.2172945043467
5232,Texas,2012,10.320078706252621,0.5760918342425514,0.027161694502727658,0.1833489672681494,0 to 14,Both,1.7244022131970946
5233,Texas,2012,10.320078706252621,0.5760918342425514,0.027161694502727658,0.1833489672681494,0 to 14,Female,1.4825178978470108
5234,Texas,2012,10.320078706252621,0.5760918342425514,0.027161694502727658,0.1833489672681494,0 to 14,Male,1.955975540305093
5235,Texas,2012,10.320078706252621,0.5760918342425514,0.027161694502727658,0.1833489672681494,15-49 years,Both,3.9994721732581735
5236,Texas,2012,10.320078706252621,0.5760918342425514,0.027161694502727658,0.1833489672681494,15-49 years,Female,3.8561274067172473
5237,Texas,2012,10.320078706252621,0.5760918342425514,0.027161694502727658,0.1833489672681494,15-49 years,Male,4.14039342091019
5238,Texas,2012,10.320078706252621,0.5760918342425514,0.027161694502727658,0.1833489672681494,50-69 years,Both,70.70241925458211
5239,Texas,2012,10.320078706252621,0.5760918342425514,0.027161694502727658,0.1833489672681494,50-69 years,Female,64.34155610224519
5240,Texas,2012,10.320078706252621,0.5760918342425514,0.027161694502727658,0.1833489672681494,50-69 years,Male,77.42780476356012
5241,Texas,2012,10.320078706252621,0.5760918342425514,0.027161694502727658,0.1833489672681494,70+ years,Both,704.686428594305
5242,Texas,2012,10.320078706252621,0.5760918342425514,0.027161694502727658,0.1833489672681494,70+ years,Female,656.6407778838719
5243,Texas,2012,10.320078706252621,0.5760918342425514,0.027161694502727658,0.1833489672681494,70+ years,Male,769.5599243615254
5244,Texas,2013,9.574435186253561,0.39373486645299144,0.026477662393162394,0.175816181980057,0 to 14,Both,1.7503900929350231
5245,Texas,2013,9.574435186253561,0.39373486645299144,0.026477662393162394,0.175816181980057,0 to 14,Female,1.514371099303757
5246,Texas,2013,9.574435186253561,0.39373486645299144,0.026477662393162394,0.175816181980057,0 to 14,Male,1.976432374847088
5247,Texas,2013,9.574435186253561,0.39373486645299144,0.026477662393162394,0.175816181980057,15-49 years,Both,4.032728478919168
5248,Texas,2013,9.574435186253561,0.39373486645299144,0.026477662393162394,0.175816181980057,15-49 years,Female,3.9051387211987656
5249,Texas,2013,9.574435186253561,0.39373486645299144,0.026477662393162394,0.175816181980057,15-49 years,Male,4.158332361840072
5250,Texas,2013,9.574435186253561,0.39373486645299144,0.026477662393162394,0.175816181980057,50-69 years,Both,71.53402168097695
5251,Texas,2013,9.574435186253561,0.39373486645299144,0.026477662393162394,0.175816181980057,50-69 years,Female,65.56006872601105
5252,Texas,2013,9.574435186253561,0.39373486645299144,0.026477662393162394,0.175816181980057,50-69 years,Male,77.8505978833731
5253,Texas,2013,9.574435186253561,0.39373486645299144,0.026477662393162394,0.175816181980057,70+ years,Both,702.7038944551807
5254,Texas,2013,9.574435186253561,0.39373486645299144,0.026477662393162394,0.175816181980057,70+ years,Female,656.6207889312167
5255,Texas,2013,9.574435186253561,0.39373486645299144,0.026477662393162394,0.175816181980057,70+ years,Male,764.3007044640101
5256,Texas,2014,9.5347827816006,0.33078678234854153,0.025285962602842185,0.17875492183994016,0 to 14,Both,1.7615970764964635
5257,Texas,2014,9.5347827816006,0.33078678234854153,0.025285962602842185,0.17875492183994016,0 to 14,Female,1.495792354892754
5258,Texas,2014,9.5347827816006,0.33078678234854153,0.025285962602842185,0.17875492183994016,0 to 14,Male,2.0162179108390985
5259,Texas,2014,9.5347827816006,0.33078678234854153,0.025285962602842185,0.17875492183994016,15-49 years,Both,4.057348755270267
5260,Texas,2014,9.5347827816006,0.33078678234854153,0.025285962602842185,0.17875492183994016,15-49 years,Female,3.8903101506681717
